customer_id,customer_name,city,status,city_original
c001,Customer_001,Trivandrum,active,TRIVANDRUM
c002,Customer_002,Chennai,active,Chennai
c003,Customer_003,Trivandrum,active,Trivandrum
c004,Customer_004,Trivandrum,active,Trivandrum
c005,Customer_005,Bengaluru,active,Bengaluru
c006,Customer_006,Coimbatore,active,cmbt
c007,Customer_007,Kochi,active,Kochi
c008,Customer_008,Coimbatore,active,Coimbatore
c009,Customer_009,Pune,active,PUNE
c010,Customer_010,Pune,active,Pune
c011,Customer_011,Mumbai,inactive,Mumbai
c012,Customer_012,Coimbatore,active,COIMBATORE
c013,Customer_013,Pune,active,Pune
c014,Customer_014,Kochi,active,Kochi
c015,Customer_015,Trivandrum,inactive,Trivandrum
c016,Customer_016,Coimbatore,active,Coimbatore
c017,Customer_017,Pune,active,PUNE
c018,Customer_018,Hyderabad,active,Hyderabad
c019,Customer_019,Trivandrum,active,Trivandrum
c020,Customer_020,Bengaluru,active,BENGALURU
c021,Customer_021,Bengaluru,active,Bengaluru
c022,Customer_022,Kochi,active,kochi
c023,Customer_023,Coimbatore,active,Coimbatore
c024,Customer_024,Pune,active,PUNE
c025,Customer_025,Mumbai,active,mumbai
c026,Customer_026,Hyderabad,active,Hyderabad
c027,Customer_027,Coimbatore,inactive,Coimbatore
c028,Customer_028,Chennai,active,Chennai
c029,Customer_029,Kochi,active,Kochi
c030,Customer_030,Chennai,active,Chennai
c031,Customer_031,Trivandrum,active,Trivandrum
c032,Customer_032,Mumbai,inactive,Mumbai
c033,Customer_033,Kochi,active,Kochi
c034,Customer_034,Hyderabad,active,Hyderabad
c035,Customer_035,Hyderabad,active,Hyderabad
c036,Customer_036,Hyderabad,active,Hyderabad
c037,Customer_037,Trivandrum,active,Trivandrum
c038,Customer_038,Bangalore,active,bangalore
c039,Customer_039,Kochi,active,Kochi
c040,Customer_040,Trivandrum,inactive,Trivandrum
c041,Customer_041,Hyderabad,inactive,hyd
c042,Customer_042,Trivandrum,active,TRIVANDRUM
c043,Customer_043,Chennai,inactive,CHENNAI
c044,Customer_044,Chennai,inactive,Chennai
c045,Customer_045,Coimbatore,inactive,Coimbatore
c046,Customer_046,Bengaluru,active,Bengaluru
c047,Customer_047,Pune,active,Pune
c048,Customer_048,Trivandrum,active,trivandrm
c049,Customer_049,Bengaluru,active,Bengaluru
c050,Customer_050,Kochi,inactive,kochi
c051,Customer_051,Trivandrum,active,Trivandrum
c052,Customer_052,Mumbai,active,mumbai
c053,Customer_053,Mumbai,active,MUMBAI
c054,Customer_054,Bengaluru,active,bengaluru
c055,Customer_055,Coimbatore,inactive,Coimbatore
c056,Customer_056,Kochi,inactive,Kochi
c057,Customer_057,Trivandrum,active,Trivandrum
