id,product_name,category,price,quantity,region,timestamp,score
0,Product_0,Sports,42.1,36,Central,2025-11-16T20:51:06.209182,4.96
1,Product_1,Sports,671.1,62,South,2025-11-16T20:51:07.209182,1.43
2,Product_2,Sports,648.4,38,Central,2025-11-16T20:51:08.209182,2.81
3,Product_3,Books,921.41,78,Central,2025-11-16T20:51:09.209182,2.57
4,Product_4,Sports,375.64,63,North,2025-11-16T20:51:10.209182,1.44
5,Product_5,Clothing,379.77,54,South,2025-11-16T20:51:11.209182,1.42
6,Product_6,Books,380.61,2,East,2025-11-16T20:51:12.209182,4.84
7,Product_7,Books,748.57,48,North,2025-11-16T20:51:13.209182,2.59
8,Product_8,Clothing,469.67,70,Central,2025-11-16T20:51:14.209182,2.85
9,Product_9,Toys,930.1,49,East,2025-11-16T20:51:15.209182,1.35
10,Product_10,Books,293.85,28,North,2025-11-16T20:51:16.209182,4.13
11,Product_11,Food,313.97,95,East,2025-11-16T20:51:17.209182,2.55
12,Product_12,Sports,338.24,83,Central,2025-11-16T20:51:18.209182,4.65
13,Product_13,Clothing,756.93,25,North,2025-11-16T20:51:19.209182,4.59
14,Product_14,Food,675.96,73,Central,2025-11-16T20:51:20.209182,4.85
15,Product_15,Toys,463.13,87,Central,2025-11-16T20:51:21.209182,3.76
16,Product_16,Toys,905.75,59,East,2025-11-16T20:51:22.209182,1.34
17,Product_17,Clothing,401.52,95,East,2025-11-16T20:51:23.209182,2.94
18,Product_18,Toys,261.01,99,Central,2025-11-16T20:51:24.209182,2.11
19,Product_19,Sports,981.69,69,South,2025-11-16T20:51:25.209182,4.2
20,Product_20,Clothing,750.48,81,South,2025-11-16T20:51:26.209182,2.56
21,Product_21,Books,628.54,4,South,2025-11-16T20:51:27.209182,3.04
22,Product_22,Clothing,50.15,44,South,2025-11-16T20:51:28.209182,3.39
23,Product_23,Toys,506.91,95,North,2025-11-16T20:51:29.209182,3.21
24,Product_24,Food,638.33,75,South,2025-11-16T20:51:30.209182,4.87
25,Product_25,Toys,365.64,52,West,2025-11-16T20:51:31.209182,2.23
26,Product_26,Sports,54.44,50,West,2025-11-16T20:51:32.209182,4.59
27,Product_27,Books,972.84,23,South,2025-11-16T20:51:33.209182,3.49
28,Product_28,Books,794.62,2,West,2025-11-16T20:51:34.209182,2.12
29,Product_29,Books,61.47,27,North,2025-11-16T20:51:35.209182,1.09
30,Product_30,Books,208.44,46,South,2025-11-16T20:51:36.209182,4.48
31,Product_31,Sports,382.89,73,South,2025-11-16T20:51:37.209182,3.81
32,Product_32,Electronics,207.31,80,North,2025-11-16T20:51:38.209182,4.11
33,Product_33,Toys,502.54,18,Central,2025-11-16T20:51:39.209182,3.07
34,Product_34,Clothing,498.56,12,South,2025-11-16T20:51:40.209182,1.31
35,Product_35,Electronics,303.58,48,South,2025-11-16T20:51:41.209182,3.07
36,Product_36,Books,381.49,18,West,2025-11-16T20:51:42.209182,4.01
37,Product_37,Sports,515.0,28,East,2025-11-16T20:51:43.209182,1.89
38,Product_38,Books,429.52,86,South,2025-11-16T20:51:44.209182,2.2
39,Product_39,Sports,802.03,63,Central,2025-11-16T20:51:45.209182,2.37
40,Product_40,Toys,774.83,68,West,2025-11-16T20:51:46.209182,4.81
41,Product_41,Toys,316.21,52,South,2025-11-16T20:51:47.209182,2.91
42,Product_42,Clothing,422.09,4,North,2025-11-16T20:51:48.209182,4.73
43,Product_43,Clothing,252.46,86,South,2025-11-16T20:51:49.209182,2.23
44,Product_44,Electronics,775.71,10,East,2025-11-16T20:51:50.209182,3.39
45,Product_45,Electronics,389.22,35,Central,2025-11-16T20:51:51.209182,1.81
46,Product_46,Clothing,675.52,17,West,2025-11-16T20:51:52.209182,2.89
47,Product_47,Electronics,160.06,42,East,2025-11-16T20:51:53.209182,4.21
48,Product_48,Food,546.72,74,West,2025-11-16T20:51:54.209182,1.27
49,Product_49,Sports,173.03,97,South,2025-11-16T20:51:55.209182,2.52
50,Product_50,Clothing,198.35,25,East,2025-11-16T20:51:56.209182,2.61
51,Product_51,Clothing,489.19,52,East,2025-11-16T20:51:57.209182,2.17
52,Product_52,Food,643.96,35,North,2025-11-16T20:51:58.209182,1.77
53,Product_53,Food,168.97,87,North,2025-11-16T20:51:59.209182,2.42
54,Product_54,Sports,759.51,87,South,2025-11-16T20:52:00.209182,3.1
55,Product_55,Electronics,503.92,24,Central,2025-11-16T20:52:01.209182,1.81
56,Product_56,Toys,253.67,1,North,2025-11-16T20:52:02.209182,1.14
57,Product_57,Toys,348.43,11,North,2025-11-16T20:52:03.209182,3.89
58,Product_58,Electronics,74.21,10,East,2025-11-16T20:52:04.209182,1.66
59,Product_59,Electronics,338.22,17,East,2025-11-16T20:52:05.209182,3.94
60,Product_60,Food,40.81,20,Central,2025-11-16T20:52:06.209182,4.13
61,Product_61,Food,916.78,51,North,2025-11-16T20:52:07.209182,1.09
62,Product_62,Books,718.38,86,South,2025-11-16T20:52:08.209182,2.47
63,Product_63,Toys,403.58,14,North,2025-11-16T20:52:09.209182,2.52
64,Product_64,Food,101.24,28,North,2025-11-16T20:52:10.209182,4.24
65,Product_65,Clothing,646.03,66,North,2025-11-16T20:52:11.209182,3.87
66,Product_66,Toys,333.94,16,North,2025-11-16T20:52:12.209182,1.84
67,Product_67,Clothing,570.67,48,East,2025-11-16T20:52:13.209182,1.49
68,Product_68,Electronics,375.49,43,West,2025-11-16T20:52:14.209182,3.32
